,premise,hypothesis,extracted_idiom,base_form,idiom_pos,identity_cql,passive_cql,adj_insertion_cql_1,adj_insertion_cql_2,adv_insertion_cql,adv_insertion_cql_adj,nominalization_cql,infinigram_index,infinigram_query,infinigram_count,infinigram_approx,infinigram_latency,infinigram_token_ids,infinigram_tokens,infinigram_error,infinigram_total_tokens,infinigram_per_billion_tokens
0,How have you weathered the storm ?,How have you succeeded in getting through the difficult situation?,weathered the storm,weather the storm,"[weather, the, storm]","q[lemma=""weather""][lemma=""the""][lemma=""storm""]","q[lemma=""the""][lemma=""storm""][lemma=""be""][lemma=""weather""]","q[lemma=""weather""][lemma=""the""][tag=""J.*""][lemma=""storm""]",,"q[tag=""RB.?""][lemma=""weather""][lemma=""the""][lemma=""storm""]",,"q[lemma=""weather"" & tag=""N.*""][lemma=""of""][lemma=""the""][lemma=""storm""]",v4_olmo-mix-1124_llama,weather the storm,555479,False,28.014421463012695,"[14826,278,14280]","[""▁weather"",""▁the"",""▁storm""]",,4575475702047,121.4035514933424
1,"And then , the Daily Telegraph discovered ‘ the truth’ : ‘ privatisation of Britain 's water industry … runs against the grain of Mr Delors’ social strategy.’","And then , the Daily Telegraph discovered ‘ the truth’ : ‘ privatisation of Britain 's water industry … runs against the natural inclination of Mr Delors’ social strategy.’",against the grain,against the grain,"[against, the, grain]","q[lemma=""against""][lemma=""the""][lemma=""grain""]",,"q[lemma=""against""][lemma=""the""][tag=""J.*""][lemma=""grain""]",,"q[tag=""RB.?""][lemma=""against""][lemma=""the""][lemma=""grain""]",,,v4_olmo-mix-1124_llama,against the grain,1744725,False,1.894235610961914,"[2750,278,2646,262]","[""▁against"",""▁the"",""▁gra"",""in""]",,4575475702047,381.3210065172974
2,He prefers acting with other countries to going it alone .,He prefers acting with other countries to doing it without any assistance of others .,going it alone,go it alone,"[go, it, alone]","q[lemma=""go""][lemma=""it""][lemma=""alone""]","q[lemma=""it""][lemma=""be""][lemma=""go""][lemma=""alone""]",,,"q[tag=""RB.?""][lemma=""go""][lemma=""it""][lemma=""alone""]",,"q[lemma=""go"" & tag=""N.*""][lemma=""of""][lemma=""it""][lemma=""alone""]",v4_olmo-mix-1124_llama,go it alone,1355629,False,0.9326934814453125,"[748,372,7432]","[""▁go"",""▁it"",""▁alone""]",,4575475702047,296.2815427898594
3,"The imagination trembles at some of these ideas — will a profession 's ruling body really come clean about its members ' income?— but no suggestion , on this subject , should be dismissed out of hand .","The imagination trembles at some of these ideas — will a profession 's ruling body really be totally honest about its members ' income?— but no suggestion , on this subject , should be dismissed out of hand .",come clean,come clean,"[come, clean]","q[lemma=""come""][lemma=""clean""]",,,,"q[tag=""RB.?""][lemma=""come""][lemma=""clean""]","q[lemma=""come""][tag=""RB.?""][lemma=""clean""]","q[lemma=""come"" & tag=""N.*""][lemma=""of""][lemma=""clean""]",v4_olmo-mix-1124_llama,come clean,1825842,False,26.23271942138672,"[2041,5941]","[""▁come"",""▁clean""]",,4575475702047,399.0496549207212
4,"Attractive , popular and smart , Veronica hovers in the orbit of the ‘ Heathers’ , a four - girl clique who rule the roost at Westerburgh High .","Attractive , popular and smart , Veronica hovers in the orbit of the ‘ Heathers’ , a four - girl clique who is in complete control at Westerburgh High .",rule the roost,rule the roost,"[rule, the, roost]","q[lemma=""rule""][lemma=""the""][lemma=""roost""]","q[lemma=""the""][lemma=""roost""][lemma=""be""][lemma=""rule""]","q[lemma=""rule""][lemma=""the""][tag=""J.*""][lemma=""roost""]",,"q[tag=""RB.?""][lemma=""rule""][lemma=""the""][lemma=""roost""]",,"q[lemma=""rule"" & tag=""N.*""][lemma=""of""][lemma=""the""][lemma=""roost""]",v4_olmo-mix-1124_llama,rule the roost,246731,False,0.8649826049804688,"[5751,278,696,520]","[""▁rule"",""▁the"",""▁ro"",""ost""]",,4575475702047,53.924666213311156
5,"All her insecurities surged painfully as , throwing caution to the winds , she confronted him furiously , demanding imperiously , ‘ Why exactly have you brought me here , Rune ?","All her insecurities surged painfully as , regardless of the negative results , she confronted him furiously , demanding imperiously , ‘ Why exactly have you brought me here , Rune ?",throwing caution to the winds,throw caution to the wind,"[throw, caution, to, the, wind]","q[lemma=""throw""][lemma=""caution""][lemma=""to""][lemma=""the""][lemma=""wind""]","q[lemma=""caution""][lemma=""be""][lemma=""throw""][lemma=""to""][lemma=""the""][lemma=""wind""]","q[lemma=""throw""][tag=""J.*""][lemma=""caution""][lemma=""to""][lemma=""the""][lemma=""wind""]","q[lemma=""throw""][lemma=""caution""][lemma=""to""][lemma=""the""][tag=""J.*""][lemma=""wind""]","q[tag=""RB.?""][lemma=""throw""][lemma=""caution""][lemma=""to""][lemma=""the""][lemma=""wind""]",,"q[lemma=""throw"" & tag=""N.*""][lemma=""of""][lemma=""caution""][lemma=""to""][lemma=""the""][lemma=""wind""]",v4_olmo-mix-1124_llama,throw caution to the wind,345334,False,702.6875019073486,"[3183,5777,918,304,278,8805]","[""▁throw"",""▁ca"",""ution"",""▁to"",""▁the"",""▁wind""]",,4575475702047,75.47499374666172
6,"It was pretty interesting, like one of the guys goes native and one of the guys doesn't.","It was pretty interesting, like one of the guys starts to assimilate and one of the guys doesn't.",goes native,go native,"[go, native]","q[lemma=""go""][lemma=""native""]",,,,"q[tag=""RB.?""][lemma=""go""][lemma=""native""]","q[lemma=""go""][tag=""RB.?""][lemma=""native""]","q[lemma=""go"" & tag=""N.*""][lemma=""of""][lemma=""native""]",v4_olmo-mix-1124_llama,go native,78807,False,571.5689659118652,"[748,7531]","[""▁go"",""▁native""]",,4575475702047,17.223782865843418
7,‘ It breaks my heart that his career has been ruined .,‘ It overwhelms me that his career has been ruined .,breaks my heart,break someone's heart,"[break, someone, 's, heart]","q[lemma=""break""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""heart""]","q[tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""heart""][lemma=""be""][lemma=""break""]","q[lemma=""break""][tag=""PP.?|N.*|DT|RP""]{1,2}[tag=""J.*""][lemma=""heart""]",,"q[tag=""RB.?""][lemma=""break""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""heart""]",,"q[lemma=""break"" & tag=""N.*""][lemma=""of""][tag=""PP.?|N.*|DT|RP""]{1,2}[lemma=""heart""]",v4_olmo-mix-1124_llama,break someone's heart,9897,False,620.1541423797607,"[2867,4856,29915,29879,5192]","[""▁break"",""▁someone"",""'"",""s"",""▁heart""]",,4575475702047,2.1630537772438023
8,For me it is quite out of the question that the Maastricht treaties should be changed again in one way or another .,For me it is impossible that the Maastricht treaties should be changed again in one way or another .,out of the question,out of the question,"[out, of, the, question]","q[lemma=""out""][lemma=""of""][lemma=""the""][lemma=""question""]",,"q[lemma=""out""][lemma=""of""][lemma=""the""][tag=""J.*""][lemma=""question""]",,"q[tag=""RB.?""][lemma=""out""][lemma=""of""][lemma=""the""][lemma=""question""]",,,v4_olmo-mix-1124_llama,out of the question,4868804,False,913.9499664306641,"[714,310,278,1139]","[""▁out"",""▁of"",""▁the"",""▁question""]",,4575475702047,1064.1088090188675
9,"London is like ‘ iced water , it 's crystal clear and safe’","London is like ‘ iced water , it 's completely transparent  and safe’",crystal clear,crystal clear,"[crystal, clear]","q[lemma=""crystal""][lemma=""clear""]",,,,"q[tag=""RB.?""][lemma=""crystal""][lemma=""clear""]",,,v4_olmo-mix-1124_llama,crystal clear,5468966,False,831.0513496398926,"[10901,11195,2821]","[""▁cry"",""stal"",""▁clear""]",,4575475702047,1195.2781210384892
